code,wind_code,name,date,time,volume,turover,settle,position,cur_delta,trade_flag,accvolume,accturover,high,low,open,price,pre_close,pre_settle,pre_position,ask5,ask4,ask3,ask2,ask1,bid1,bid2,bid3,bid4,bid5,asize5,asize4,asize3,asize2,asize1,bsize1,bsize2,bsize3,bsize4,bsize5
ag,AG.SHF,沪银活跃-ag1612,20170103,135251500,0,0,0,706948,0,0,167738,10290286260,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,163,45,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135252500,0,0,0,706948,0,0,167738,10290286260,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,164,45,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135255500,2,122730,0,706948,0,0,167740,10290408990,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,163,45,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135257000,0,0,0,706948,0,0,167740,10290408990,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,163,46,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135258000,2,122700,0,706946,0,0,167742,10290531690,41070000,40700000,40760000,40900000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,163,47,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135258500,4,245460,0,706950,0,0,167746,10290777150,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,161,47,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135300500,2,122700,0,706948,0,0,167748,10290899850,41070000,40700000,40760000,40900000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,161,46,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135302000,0,0,0,706948,0,0,167748,10290899850,41070000,40700000,40760000,40900000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,161,53,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135303000,2,122730,0,706948,0,0,167750,10291022580,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,160,53,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135303500,0,0,0,706948,0,0,167750,10291022580,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,161,53,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135304000,2,122730,0,706950,0,0,167752,10291145310,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,160,53,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135304500,0,0,0,706950,0,0,167752,10291145310,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,160,56,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135305000,2,122700,0,706948,0,0,167754,10291268010,41070000,40700000,40760000,40900000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,160,55,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135305500,10,613650,0,706954,0,0,167764,10291881660,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,155,55,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135306000,2,122730,0,706956,0,0,167766,10292004390,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,154,54,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135308000,0,0,0,706956,0,0,167766,10292004390,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,155,54,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135310000,4,245430,0,706958,0,0,167770,10292249820,41070000,40700000,40760000,40900000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,154,54,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135310500,0,0,0,706958,0,0,167770,10292249820,41070000,40700000,40760000,40900000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,154,64,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135311000,0,0,0,706958,0,0,167770,10292249820,41070000,40700000,40760000,40900000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,154,73,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135311500,0,0,0,706958,0,0,167770,10292249820,41070000,40700000,40760000,40900000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,154,74,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135313000,0,0,0,706958,0,0,167770,10292249820,41070000,40700000,40760000,40900000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,160,75,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135313500,0,0,0,706958,0,0,167770,10292249820,41070000,40700000,40760000,40900000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,160,77,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135314500,0,0,0,706958,0,0,167770,10292249820,41070000,40700000,40760000,40900000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,162,77,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135316000,2,122700,0,706958,0,0,167772,10292372520,41070000,40700000,40760000,40900000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,162,76,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135317000,0,0,0,706958,0,0,167772,10292372520,41070000,40700000,40760000,40900000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,162,86,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135317500,0,0,0,706958,0,0,167772,10292372520,41070000,40700000,40760000,40900000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,162,93,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135318500,0,0,0,706958,0,0,167772,10292372520,41070000,40700000,40760000,40900000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,161,93,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135319000,0,0,0,706958,0,0,167772,10292372520,41070000,40700000,40760000,40900000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,159,95,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135319500,0,0,0,706958,0,0,167772,10292372520,41070000,40700000,40760000,40900000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,159,156,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135320500,0,0,0,706958,0,0,167772,10292372520,41070000,40700000,40760000,40900000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,159,162,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135321000,8,490920,0,706958,0,0,167780,10292863440,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,152,158,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135322500,0,0,0,706958,0,0,167780,10292863440,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,153,158,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135324500,2,122730,0,706960,0,0,167782,10292986170,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,152,158,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135325000,0,0,0,706960,0,0,167782,10292986170,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,152,157,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135326500,0,0,0,706960,0,0,167782,10292986170,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,138,157,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135329500,0,0,0,706960,0,0,167782,10292986170,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,138,150,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135331000,0,0,0,706960,0,0,167782,10292986170,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,138,148,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135331500,4,245460,0,706962,0,0,167786,10293231630,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,136,148,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135332500,0,0,0,706962,0,0,167786,10293231630,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,138,148,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135333000,12,736200,0,706958,0,0,167798,10293967830,41070000,40700000,40760000,40900000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,138,142,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135333500,2,122730,0,706960,0,0,167800,10294090560,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,137,150,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135336000,2,122730,0,706960,0,0,167802,10294213290,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,136,151,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135336500,0,0,0,706960,0,0,167802,10294213290,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,136,152,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135338000,4,245460,0,706964,0,0,167806,10294458750,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,134,152,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135338500,0,0,0,706964,0,0,167806,10294458750,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,134,155,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135340000,20,1227300,0,706976,0,0,167826,10295686050,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,124,155,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135340500,2,122730,0,706974,0,0,167828,10295808780,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,123,156,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135341000,0,0,0,706974,0,0,167828,10295808780,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,123,158,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135342000,0,0,0,706974,0,0,167828,10295808780,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,123,163,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135343500,4,245460,0,706974,0,0,167832,10296054240,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,121,164,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135344000,2,122730,0,706974,0,0,167834,10296176970,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,120,164,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135344500,10,613650,0,706982,0,0,167844,10296790620,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,113,164,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135345000,4,245460,0,706982,0,0,167848,10297036080,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,111,165,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135345500,0,0,0,706982,0,0,167848,10297036080,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,111,164,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135346500,52,3190380,0,706978,0,0,167900,10300226460,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,106,144,0,0,0,0
ag,AG.SHF,沪银活跃-ag1612,20170103,135347000,10,613650,0,706988,0,0,167910,10300840110,41070000,40700000,40760000,40910000,41130000,41020000,708376,0,0,0,0,40910000,40900000,0,0,0,0,0,0,0,0,103,144,0,0,0,0
